x,y
272181,9883209
272132,9883193
271969,9883160
272085,9883137
272169,9882965
271882,9882883
272148,9882883
272164,9882811
271919,9882801
272199,9882898
279652,9879393
279616,9879500
279761,9879334
279939,9879421
280081,9879579
279649,9880126
275893,9883877
272412,9886370
275706,9881404
276994,9881043
272556,9885423
277769,9879233
277245,9879941
278815,9878056
278517,9877955
276292,9878324
278747,9878047
278310,9877975
276797,9878692
273563,9881417
275481,9884262
273673,9885146
273332,9886198
273136,9885543
273012,9883211
273303,9882325
275401,9880780
275400,9879664
274812,9884112
275201,9883794
277206,9882647
276293,9877587
277974,9878274
276056,9879491
280132,9880654
279371,9880580
272330,9883648
277276,9876522
274803,9881564
277264,9875622
277149,9875320
278854,9875380
280738,9876591
281112,9874895
281076,9878697
283230,9880398
283548,9880744
285037,9881262
284486,9881773
285617,9880874
287967,9871932
287254,9877411
286520,9878135
284528,9879458
283811,9873977
285103,9874726
282321,9873162
283625,9872462
292254,9873872
289651,9874750
290177,9874707
291527,9873039
289728,9873753
284908,9872990
284714,9872880
286223,9872733
291674,9874016
293355,9874288
293355,9874288
286561,9879753
282506,9876527
287717,9879390
285161,9880065
284331,9880274
281990,9877242
283830,9876635
291630,9871223
289666,9870386
289824,9870242
289651,9870095
289839,9870004
289538,9869985
290123,9870135
290674,9870122
290346,9870521
289469,9872695
289707,9872553
288864,9872793
286075,9873942
290218,9869838
289722,9871164
289568,9871430
284993,9876035
287000,9871487
287935,9875368
291093,9870543
290744,9869107
290397,9870157
292872,9873368
289973,9870396
288886,9870254
292977,9869770
272598,9886946
272629,9887343
273307,9887458
273490,9887022
274121,9887309
274527,9887864
275836,9887679
276738,9886921
276672,9885997
275114,9885996
277822,9886390
277397,9886439
277720,9886267
277244,9886264
277314,9886001
277330,9886106
277402,9886344
277505,9886207
277588,9886051
278109,9886222
277224,9885690
276339,9885838
276675,9885271
277585,9885833
278066,9885827
280625,9884118
277246,9884934
277092,9885355
275588,9885159
277960,9884583
278272,9885034
281932,9882999
281496,9884139
278868,9883989
279723,9884715
280976,9883465
280480,9883625
281603,9882812
279349,9883417
281190,9882169
280790,9882482
282080,9881650
281666,9881316
279596,9882615
267892,9879820
266176,9882478
265848,9881678
265685,9882154
267600,9881584
265425,9881339
267306,9881120
264936,9881228
266625,9881229
268335,9881167
268335,9881167
264415,9880048
264415,9880048
264305,9880585
264121,9880213
265063,9879614
264650,9880891
265766,9880469
266992,9879244
267084,9879496
268889,9879891
264835,9879844
265161,9879303
266053,9880013
268721,9879338
267424,9880394
268589,9880140
268768,9880653
268293,9879863
268636,9878909
269891,9880170
269642,9879529
269269,9878479
268928,9879573
266137,9880957
266868,9881712
266622,9881904
265607,9880645
267907,9880472
267260,9880719
267404,9880088
268874,9880374
266836,9880610
266186,9880489
266034,9879509
267902,9879319
267544,9879219
265695,9879366
266977,9879723
266990,9881325
266194,9881871
267237,9881652
267237,9881652
266715,9880930
265618,9881584
274547,9875412
283864,9871942
266744,9882848
266666,9882950
266688,9882903
267025,9882605
275132,9877756
275111,9877888
275046,9877836
275360,9877752
275391,9877609
272719,9879716
274093,9878352
274288,9879376
273091,9878448
275830,9879037
275905,9878388
275637,9880408
276937,9878647
276902,9879586
267771,9882924
267273,9883476
268329,9882520
270224,9882932
268821,9882015
270293,9882399
269208,9881593
270931,9881912
269985,9881742
270224,9881048
270878,9880670
272379,9881127
272539,9880260
271763,9880473
272881,9880781
273394,9880270
271803,9879962
271399,9881053
272451,9879296
273080,9879611
273374,9879930
272929,9878855
274293,9879017
274719,9878262
277466,9885852
277541,9885894
277513,9885832
278022,9886110
277459,9886099
277345,9885689
280431,9884040
277771,9885991
277361,9885399
277819,9885795
288886,9870254
292977,9869770
296589,9875401.9
296537.03,9872443.28
294002.04,9868206.67
292256.88,9873038.81
295975,9870298
